Value1,Value2,Value3,Value4,Value5,Value6,attackerType
0,0,-2.04,0.75,2.17,-2.79,1
2659.82,1666.57,-3.85,1.42,4.11,-2.79,4
0,0,-5.4,2.65,6.02,-2.69,1
2414.88,1578.45,-1.94,0.71,2.06,-2.79,0
0,0,-5.42,5.49,7.71,-2.35,1
0,0,-6.74,6.82,9.59,-2.35,1
2411.87,1579.55,-3.79,1.39,4.03,-2.79,0
0,0,-8,8.11,11.39,-2.35,1
2407.3,1581.42,-5.32,2.38,5.83,-2.72,0
1227,12744,-1.88,0.69,2,-2.79,2
2556.89,2055.18,-9.49,9.62,13.51,-2.35,4
2402.46,1586.31,-5.47,5.54,7.79,-2.35,0
304,18021,-9.83,9.96,13.99,-2.35,2
2396.31,1592.55,-6.72,6.81,9.57,-2.35,0
2670.07,1693.48,-3.69,1.35,3.93,-2.79,4
0,0,-9.76,9.88,13.89,-2.35,1
2388.87,1600.08,-8.04,8.15,11.45,-2.35,0
0,0,-5.46,2.31,5.93,-2.74,1
1484,17895,-1.91,0.7,2.04,-2.79,2
2370.51,1658.93,-9.82,9.95,13.98,-2.35,3
2380.1,1608.97,-9.41,9.53,13.39,-2.35,0
2560.46,1653.31,-5.51,5.58,7.84,-2.35,4
444,14635,-8.62,11.03,13.99,-2.23,2
2370.35,1618.84,-9.8,9.93,13.95,-2.35,0
2416.2,1612.65,-6.88,6.97,9.79,-2.35,3
2431.94,1599.53,-3.76,1.38,4.01,-2.79,3
1558,12747,-2.28,13.74,13.92,-1.74,2
2360.59,1628.73,-9.75,9.87,13.88,-2.35,0
943,18982,-8.24,8.35,11.73,-2.35,2
1504,13092,-5.54,2.72,6.17,-2.69,2
2414.9,1578.44,-1.88,0.69,2,-2.79,0
0,0,10.33,9.33,13.92,-0.73,1
2350.78,1638.66,-9.76,9.88,13.89,-2.35,0
2399.53,1629.54,-9.58,9.7,13.63,-2.35,3
2422.04,1606.75,-5.73,5.8,8.15,-2.35,3
0,0,10.33,9.32,13.91,-0.73,1
2341.24,1648.8,-8.61,11.02,13.99,-2.23,0
286,12900,-9.79,9.92,13.94,-2.35,2
2415.54,1613.33,-7.15,7.24,10.18,-2.35,3
2411.92,1579.54,-3.87,1.42,4.12,-2.79,0
2378.7,1711.81,10.37,9.35,13.96,-0.73,3
2334.63,1660.63,-2.28,13.7,13.89,-1.74,0
2379.96,1649.36,-9.75,9.88,13.88,-2.35,3
0,0,-8.62,8.73,12.26,-2.35,1
2407.16,1581.56,-5.47,2.69,6.1,-2.68,0
0,0,-1.91,0.7,2.03,-2.79,1
0,0,13.84,2.07,14,-0.15,1
2337.35,1673.3,10.07,9.56,13.89,-0.76,0
0,0,-9.76,9.89,13.9,-2.35,1
2398.3,1630.79,-9.77,9.9,13.91,-2.35,3
2402.11,1586.67,-5.61,5.69,7.99,-2.35,0
2405.47,1717.38,13.85,1.65,13.95,-0.12,3
2348.05,1682.21,10.34,9.33,13.93,-0.73,0
1157,19202,-8.57,10.97,13.93,-2.23,2
316,10752,-9.82,9.94,13.97,-2.35,2
2395.77,1593.09,-6.98,7.07,9.94,-2.35,0
1993,17827,-3.86,1.42,4.11,-2.79,2
1413,16240,13.89,1.31,13.96,-0.09,2
2358.4,1691.55,10.32,9.3,13.89,-0.73,0
2079,15390,-2.29,13.8,13.99,-1.74,2
1093,12943,-9.81,9.94,13.96,-2.35,2
2388.03,1600.93,-8.35,8.46,11.89,-2.35,0
2427.19,1601.53,-5.49,2.65,6.1,-2.69,3
2414.86,1578.46,-1.99,0.73,2.12,-2.79,0
2150,10314,11.45,1.08,11.5,-0.09,2
2371.28,1695.51,13.81,2.06,13.97,-0.15,0
2358.02,1693.84,10.59,9.1,13.97,-0.71,3
2294,16242,-9.77,9.89,13.9,-2.35,2
2379.47,1609.6,-8.58,8.69,12.22,-2.35,0
0,0,-5.71,5.78,8.12,-2.35,1
2389,19866,6.97,0.66,7,-0.09,2
2385.09,1697.33,13.85,1.65,13.95,-0.12,0
2368.7,1702.8,10.34,9.32,13.92,-0.73,3
1826,10402,-8.59,11,13.96,-2.23,2
2370.89,1618.29,-8.57,8.68,12.2,-2.35,0
2415.68,1613.19,-7.04,7.13,10.02,-2.35,3
2411.81,1579.58,-3.82,1.4,4.07,-2.79,0
2448.42,1721.48,7.8,1.24,7.9,-0.16,3
2398.5,1698.63,13.04,1.23,13.1,-0.09,0
2379.06,1712.14,10.34,9.33,13.92,-0.73,3
2560.2,2112.23,-2.27,13.69,13.88,-1.74,4
2362.31,1626.98,-8.59,8.7,12.22,-2.35,0
738,18423,-8.39,8.5,11.94,-2.35,2
2407.2,1581.52,-5.31,2.54,5.88,-2.7,0
2414.86,1578.46,-1.98,0.73,2.11,-2.79,0
2451.47,1729.49,1.52,9.99,10.1,-1.42,3
2411.25,1699.84,11.89,1.12,11.94,-0.09,0
0,0,13.8,2.06,13.95,-0.15,1
2357.42,1960.98,10.85,8.76,13.95,-0.68,4
2353.74,1635.66,-8.58,8.69,12.21,-2.35,0
2398.74,1630.34,-9.81,9.94,13.97,-2.35,3
2402.43,1586.35,-5.3,5.36,7.54,-2.35,0
316,16063,1.8,11.85,11.99,-1.42,2
2420.69,1700.73,7.45,0.7,7.48,-0.09,0
1884,17577,13.78,1.64,13.88,-0.12,2
2370.02,1703.99,10.36,9.34,13.94,-0.73,3
2345.16,1644.35,-8.56,8.67,12.18,-2.35,0
2636.96,1833.25,-9.83,9.96,13.99,-2.35,4
2396.47,1592.38,-6.58,6.66,9.36,-2.35,0
2411.86,1579.56,-3.81,1.4,4.06,-2.79,0
422,10885,2.1,13.82,13.98,-1.42,2
2427.64,1701.29,7.82,0.79,7.86,-0.1,0
2743.06,2172.69,12.74,1.2,12.79,-0.09,4
2129,13054,10.34,9.32,13.92,-0.73,2
2337.38,1653.75,-7.49,9.58,12.16,-2.23,0
2379.16,1650.17,-9.83,9.96,13.99,-2.35,3
2389.22,1599.72,-7.82,7.92,11.13,-2.35,0
2407.1,1581.62,-5.54,2.83,6.22,-2.67,0
2547.88,1930.45,-1.88,0.69,2,-2.79,4
2666.22,2082.32,2.1,13.81,13.97,-1.42,4
2431.3,1708.4,1.44,9.47,9.57,-1.42,0
2431.47,1719.86,11.79,1.11,11.84,-0.09,3
2393.9,1715.9,13.77,2.06,13.93,-0.15,3
2333.95,1665.12,-1.68,12.02,12.14,-1.71,0
0,0,-9.76,9.88,13.89,-2.35,1
2380.65,1608.41,-9.17,9.29,13.06,-2.35,0
2401.93,1586.85,-5.75,5.83,8.19,-2.35,0
2875.64,2184.16,0.96,13.96,13.99,-1.5,4
2432.91,1718.94,1.74,11.48,11.61,-1.42,0
0,0,7.37,0.7,7.4,-0.09,1
2407.72,1717.61,13.79,1.48,13.87,-0.11,3
2339.53,1675.07,9.45,7.63,12.14,-0.68,0
2464,17728,-8.62,11.03,14,-2.23,2
2371.47,1617.71,-9.17,9.29,13.06,-2.35,0
2395.43,1593.44,-7.18,7.27,10.21,-2.35,0
516,15825,-3.82,1.4,4.06,-2.79,2
428,13751,1.01,13.92,13.96,-1.5,2
2434.82,1731.53,2.04,13.43,13.58,-1.42,0
452,17301,8.4,1.09,8.47,-0.13,2
0,0,12.63,1.19,12.69,-0.09,1
2348.85,1682.93,9.06,8.17,12.2,-0.73,0
2354.3,1682.63,-2.28,13.75,13.94,-1.74,3
2362.29,1627.01,-9.2,9.31,13.09,-2.35,0
2388.02,1600.94,-7.39,7.49,10.52,-2.35,0
0,0,-5.39,2.53,5.96,-2.7,1
2414.87,1578.45,-1.97,0.72,2.09,-2.79,0
2440,18181,1.01,13.87,13.91,-1.5,2
2436.91,1745.3,2.1,13.81,13.97,-1.42,0
696,14863,1.56,10.25,10.37,-1.42,2
2489.94,2167,11.2,1.06,11.25,-0.09,4
2357.91,1691.1,9.05,8.16,12.18,-0.73,0
369,19901,10.86,8.77,13.96,-0.68,2
2353.1,1636.31,-9.2,9.32,13.1,-2.35,0
2380.61,1608.45,-7.45,7.55,10.6,-2.35,0
0,0,-5.42,5.49,7.72,-2.35,1
351,15687,1.01,13.85,13.89,-1.5,2
2438.5,1759.12,0.96,13.88,13.92,-1.5,0
2641.22,1946.99,1.83,12.05,12.19,-1.42,4
2059,15762,6.77,0.64,6.8,-0.09,2
2368.9,1695.15,12.1,1.81,12.24,-0.15,0
2369.54,1703.56,10.27,9.26,13.83,-0.73,3
2343.92,1645.61,-9.14,9.26,13.01,-2.35,0
2373.2,1615.95,-7.38,7.48,10.51,-2.35,0
2859.18,1693.68,-6.82,6.91,9.71,-2.35,4
2411.98,1579.51,-3.64,1.34,3.88,-2.79,0
2046,13591,1.01,13.87,13.91,-1.5,2
2439.36,1773.03,0.95,13.9,13.93,-1.5,0
2897.2,1853.05,2.1,13.8,13.96,-1.42,4
1497,18123,8.26,2.33,8.58,-0.27,2
2380.98,1696.84,12.15,1.45,12.24,-0.12,0
2753.63,2099.65,9.98,9,13.44,-0.73,4
2335.76,1655.82,-8.06,10.31,13.09,-2.23,0
2365.79,1623.45,-7.37,7.47,10.49,-2.35,0
2408.59,1620.37,-8.21,8.32,11.69,-2.35,3
2407.28,1581.44,-5.46,2.48,6,-2.72,0
0,0,1.01,13.95,13.98,-1.5,1
2440.37,1786.93,1.01,13.95,13.99,-1.5,0
0,0,2.1,13.8,13.95,-1.42,1
2451.66,1730.77,1.58,10.39,10.51,-1.42,3
2393.1,1698.12,12.18,1.15,12.23,-0.09,0
0,0,13.02,1.95,13.16,-0.15,1
2334.08,1668.62,1.05,13.04,13.08,-1.49,0
2358.38,1630.96,-7.44,7.53,10.58,-2.35,0
2399.59,1629.48,-9.59,9.71,13.65,-2.35,3
2402.31,1586.47,-5.55,5.62,7.9,-2.35,0
423,14629,1.01,13.93,13.97,-1.5,2
2441.38,1800.84,1.01,13.92,13.96,-1.5,0
2607.67,1953.68,0.92,13.95,13.99,-1.5,4
2777.43,1888.4,1.9,12.49,12.63,-1.42,4
2405.23,1699.27,12.13,1.15,12.18,-0.09,0
522,11369,12.87,1.53,12.96,-0.12,2
2342.96,1677.83,10.2,8.24,13.12,-0.68,0
2350.98,1638.46,-7.37,7.47,10.5,-2.35,0
2806.85,2096.34,-9.63,9.76,13.71,-2.35,4
2396.05,1592.81,-6.93,7.02,9.87,-2.35,0
1146,12084,1.01,13.84,13.87,-1.5,2
2442.39,1814.74,1.01,13.9,13.94,-1.5,0
2561.55,2056.6,1.01,13.86,13.89,-1.5,4
0,0,2.1,13.81,13.97,-1.42,1
2416.54,1700.34,9.64,0.91,9.69,-0.09,0
0,0,11.22,1.06,11.27,-0.09,1
2352.78,1686.47,9.75,8.79,13.13,-0.73,0
2343.56,1645.97,-7.45,7.55,10.61,-2.35,0
2802.52,1870.8,-9.13,9.25,13,-2.35,4
2388.36,1600.59,-8.27,8.38,11.78,-2.35,0
0,0,1.01,13.95,13.99,-1.5,1
2443.4,1828.63,1.01,13.87,13.91,-1.5,0
2460.56,1809.5,1.01,13.9,13.94,-1.5,3
2876.55,1886.53,2.1,13.83,13.98,-1.42,4
2423.97,1700.98,6.63,0.45,6.64,-0.07,0
2427.09,1719.45,8.47,0.8,8.5,-0.09,3
2362.91,1694.26,12.48,3.91,13.08,-0.3,0
2336.99,1654.25,-6.52,8.35,10.6,-2.23,0
2371.64,1657.79,-8.74,8.85,12.44,-2.35,3
2379.39,1609.68,-9.59,9.71,13.65,-2.35,0
1896,11992,1.01,13.85,13.89,-1.5,2
2444.41,1842.52,1.01,13.89,13.93,-1.5,0
1957,19128,1.01,13.89,13.92,-1.5,2
1760,12660,0.79,13.93,13.96,-1.51,2
2430.57,1703.86,5,7.3,8.85,-0.97,0
1678,14661,9.3,0.88,9.34,-0.09,2
2375.84,1696.19,12.95,1.94,13.09,-0.15,0
2334.05,1664.1,-1.72,10.36,10.5,-1.74,0
2526.12,1866.42,-8.4,8.51,11.96,-2.35,4
2369.61,1619.59,-9.79,9.92,13.93,-2.35,0
2468.6,1920.16,1.01,13.84,13.88,-1.5,3
2445.43,1856.45,1.01,13.86,13.9,-1.5,0
0,0,1.01,13.9,13.94,-1.5,1
1735,14386,1.01,13.92,13.96,-1.5,2
2432.1,1713.64,1.63,10.74,10.86,-1.42,0
0,0,6.89,0.5,6.91,-0.07,1
2388.81,1697.72,12.97,1.25,13.03,-0.1,0
2337.45,1673.39,7.75,7.25,10.61,-0.75,0
2355.88,1675.67,-7.15,9.15,11.61,-2.23,3
2359.82,1629.5,-9.76,9.89,13.89,-2.35,0
2805.61,2097.07,1.01,13.93,13.97,-1.5,4
2446.44,1870.36,1.01,13.95,13.99,-1.5,0
1654,16704,1.01,13.86,13.9,-1.5,2
2596.68,1921.21,1.01,13.88,13.92,-1.5,4
2433.9,1725.49,1.94,12.76,12.91,-1.42,0
272,11323,5.16,7.53,9.13,-0.97,2
2401.79,1698.94,12.96,1.23,13.02,-0.09,0
2345.64,1680.04,8.12,6.73,10.54,-0.69,0
1159,11879,-0.84,11.31,11.34,-1.64,2
2350.03,1639.42,-9.82,9.95,13.98,-2.35,0
2652.62,1932.96,1.01,13.83,13.87,-1.5,4
2447.45,1884.25,1.01,13.91,13.94,-1.5,0
2638.6,2237.06,1.01,13.87,13.91,-1.5,4
1927,11282,1.01,13.94,13.98,-1.5,2
2435.95,1739.01,2.1,13.83,13.99,-1.42,0
0,0,1.65,10.85,10.97,-1.42,1
2414.11,1700.11,10.77,1.02,10.82,-0.09,0
2353.47,1687.1,7.8,7.04,10.51,-0.73,0
0,0,8.62,6.96,11.08,-0.68,1
2340.59,1649.64,-8.6,11.01,13.97,-2.23,0
1701,17446,-1.11,13.85,13.89,-1.65,2
2448.46,1898.15,1.01,13.87,13.9,-1.5,0
2383,17584,1.01,13.94,13.97,-1.5,2
1501,11728,1.01,13.95,13.98,-1.5,2
2437.96,1752.78,1.61,13.85,13.94,-1.45,0
0,0,1.95,12.84,12.98,-1.42,1
2422.42,1700.89,6.29,0.57,6.32,-0.09,0
2361.37,1694.03,8.25,6.59,10.56,-0.67,0
785,14684,8.12,7.32,10.93,-0.73,2
2334.45,1661.69,-2.28,13.74,13.93,-1.74,0
2468.48,1975.7,-1.11,13.83,13.87,-1.65,3
2449.47,1912.04,1.01,13.93,13.97,-1.5,0
2466.62,1892.84,1.01,13.89,13.93,-1.5,3
0,0,1.01,13.88,13.92,-1.5,1
2438.95,1766.67,0.77,13.9,13.92,-1.52,0
0,0,2.1,13.83,13.99,-1.42,1
2429.75,1702.34,7.75,3.73,8.6,-0.45,0
2371.81,1695.59,10.48,1.57,10.6,-0.15,0
2734.64,2118.96,8.09,7.29,10.89,-0.73,4
2337.95,1673.79,10.01,8.7,13.26,-0.72,0
0,0,-1.12,13.96,14,-1.65,1
2450.48,1925.94,1.01,13.85,13.88,-1.5,0
2467.63,1906.75,1.01,13.88,13.92,-1.5,3
0,0,1.01,13.84,13.88,-1.5,1
2439.91,1780.57,1.01,13.91,13.95,-1.5,0
0,0,1.52,13.85,13.94,-1.46,1
2431.82,1711.79,1.61,10.6,10.72,-1.42,0
2382.25,1696.99,10.49,1.25,10.56,-0.12,0
2385.87,1714.7,10.71,1.6,10.83,-0.15,3
2347.89,1682.07,9.35,8.43,12.59,-0.73,0
0,0,-1.12,13.92,13.96,-1.65,1
2449.75,1939.85,-1.11,13.84,13.88,-1.65,0
2299,14931,1.01,13.87,13.9,-1.5,2
0,0,1.01,13.86,13.9,-1.5,1
2440.92,1794.46,1.01,13.87,13.91,-1.5,0
0,0,0.78,13.96,13.98,-1.51,1
2433.58,1723.41,1.9,12.52,12.67,-1.42,0
2392.77,1698.09,10.54,1,10.59,-0.09,0
2396.51,1716.29,10.6,1.58,10.72,-0.15,3
2357.11,1690.39,9.05,8.16,12.19,-0.73,0
1816,19243,-1.11,13.86,13.91,-1.65,2
2448.63,1953.74,-1.11,13.88,13.93,-1.65,0
2479.65,2200.54,1.01,13.87,13.91,-1.5,4
1693,19533,1.02,13.96,14,-1.5,2
2441.93,1808.34,1.01,13.89,13.93,-1.5,0
0,0,1.01,13.95,13.99,-1.5,1
2435.63,1736.88,2.1,13.83,13.99,-1.42,0
2403.26,1699.08,10.45,0.99,10.5,-0.09,0
2729.12,1850.56,10.58,1.2,10.64,-0.11,4
2367.62,1694.96,11.6,1.73,11.72,-0.15,0
2464.02,2031.27,-1.11,13.88,13.92,-1.65,3
2447.52,1967.62,-1.11,13.88,13.92,-1.65,0
2470.66,1948.45,1.01,13.94,13.97,-1.5,3
2467.76,1908.52,1.01,13.94,13.98,-1.5,3
2442.94,1822.23,1.01,13.91,13.95,-1.5,0
1122,15150,1.01,13.85,13.88,-1.5,2
2437.72,1750.65,2.09,13.73,13.89,-1.42,0
2413.78,1700.08,10.49,0.99,10.54,-0.09,0
2417.76,1718.56,10.64,1.01,10.68,-0.09,3
2379.13,1696.62,11.47,1.43,11.56,-0.12,0
0,0,-1.11,13.88,13.93,-1.65,1
2446.41,1981.52,-1.11,13.91,13.95,-1.65,0
2826.55,2376.34,-1.11,13.85,13.9,-1.65,4
904,15608,1.01,13.91,13.94,-1.5,2
2443.95,1836.12,1.01,13.88,13.92,-1.5,0
505,17678,1.01,13.89,13.93,-1.5,2
2438.83,1764.52,0.77,13.94,13.96,-1.52,0
2422.22,1700.87,6.43,0.6,6.46,-0.09,0
2427.2,1719.46,8.12,0.77,8.16,-0.09,3
2389.84,1697.81,9.69,0.92,9.73,-0.09,0
0,0,-1.11,13.89,13.94,-1.65,1
2445.29,1995.41,-1.12,13.92,13.97,-1.65,0
0,0,-1.11,13.88,13.92,-1.65,1
0,0,1.01,13.92,13.96,-1.5,1
2444.96,1850.02,1.01,13.93,13.97,-1.5,0
1693,10038,1.01,13.87,13.91,-1.5,2
2439.75,1778.44,1.01,13.94,13.97,-1.5,0
2429.7,1702.28,7.92,3.61,8.71,-0.43,0
2603.48,2062.24,8.75,0.83,8.79,-0.09,4
2399.22,1698.7,9.53,0.9,9.57,-0.09,0
1464,18109,-1.12,13.95,14,-1.65,2
2444.18,2009.29,-1.11,13.87,13.92,-1.65,0
2454.32,2405.11,-1.11,13.88,13.92,-1.65,4
0,0,-0.51,13.97,13.98,-1.61,1
2445.97,1863.92,1.01,13.91,13.95,-1.5,0
2463.98,1856.54,1.01,13.85,13.89,-1.5,3
2440.76,1792.31,1.01,13.89,13.92,-1.5,0
2431.79,1711.61,1.6,10.5,10.62,-1.42,0
0,0,6.46,0.51,6.48,-0.08,1
2408.14,1699.55,7.69,0.73,7.73,-0.09,0
2459.72,2086.85,-0.94,13.93,13.96,-1.64,3
2443.07,2023.19,-1.12,13.93,13.98,-1.65,0
0,0,-1.11,13.91,13.95,-1.65,1
2469.4,1964.11,-1.11,13.9,13.94,-1.65,3
2446.98,1877.82,1.01,13.87,13.9,-1.5,0
0,0,1.01,13.9,13.94,-1.5,1
2441.77,1806.21,1.01,13.95,13.99,-1.5,0
2433.54,1723.12,1.89,12.42,12.57,-1.42,0
213,19599,6.7,5.61,8.74,-0.7,2
2416.44,1700.33,8.81,0.83,8.85,-0.09,0
0,0,-0.94,13.85,13.88,-1.64,1
2441.95,2037.1,-1.11,13.86,13.91,-1.65,0
0,0,-1.11,13.89,13.94,-1.65,1
2468.29,1978.02,-1.12,13.94,13.98,-1.65,3
2447.99,1891.72,1.01,13.83,13.87,-1.5,0
2466,1884.31,1.01,13.84,13.87,-1.5,3
2442.78,1820.11,1.01,13.89,13.93,-1.5,0
2435.45,1735.65,1.9,12.47,12.62,-1.42,0
2451.94,1732.62,1.58,10.37,10.49,-1.42,3
2423.89,1700.97,6.69,0.46,6.71,-0.07,0
2581.91,2198.62,-2.16,13.77,13.94,-1.73,4
2440.84,2051,-1.12,13.94,13.99,-1.65,0
0,0,-1.12,13.95,13.99,-1.65,1
2741.18,2259.89,-1.11,13.84,13.89,-1.65,4
2449,1905.6,1.01,13.91,13.94,-1.5,0
1885,13439,1.01,13.94,13.97,-1.5,2
2443.79,1834,1.01,13.91,13.94,-1.5,0
2437.35,1748.17,1.9,12.48,12.62,-1.42,0
809,11818,1.89,12.42,12.56,-1.42,2
2430.58,1703.9,4.96,7.43,8.93,-0.98,0
2452.89,2127.37,-7.18,11.94,13.93,-2.11,3
2439.85,2064.9,-0.94,13.94,13.98,-1.64,0
2462.87,2045.71,-1.12,13.94,13.98,-1.65,3
2466.07,2005.77,-1.11,13.9,13.94,-1.65,3
2450.01,1919.49,1.01,13.92,13.96,-1.5,0
1988,18487,1.01,13.88,13.92,-1.5,2
2444.8,1847.89,1.01,13.91,13.95,-1.5,0
2438.62,1760.78,0.88,12.63,12.66,-1.5,0
0,0,2.1,13.81,13.97,-1.42,1
2432.11,1713.74,1.63,10.72,10.85,-1.42,0
0,0,-11.9,7.28,13.95,-2.59,1
2438.91,2078.8,-0.94,13.94,13.97,-1.64,0
2461.75,2059.6,-1.11,13.87,13.92,-1.65,3
2464.95,2019.66,-1.11,13.88,13.92,-1.65,3
2450.26,1933.38,-1.11,13.91,13.96,-1.65,0
2469.03,1925.97,1.01,13.9,13.93,-1.5,3
2445.81,1861.78,1.01,13.95,13.98,-1.5,0
2439.39,1773.44,0.89,12.61,12.64,-1.5,0
2868.79,2184.22,1.96,13.7,13.84,-1.43,4
2433.91,1725.57,1.93,12.68,12.82,-1.42,0
2529.47,2440.93,-13.54,3.07,13.88,-2.92,4
2438.22,2092.72,-1.76,13.85,13.97,-1.7,0
2577.64,2326.5,-1.12,13.92,13.96,-1.65,4
2463.84,2033.53,-1.11,13.83,13.88,-1.65,3
2449.15,1947.27,-1.12,13.95,13.99,-1.65,0
457,14721,1.01,13.85,13.88,-1.5,2
2446.82,1875.67,1.01,13.95,13.98,-1.5,0
2440.31,1786.1,0.92,12.59,12.62,-1.5,0
1177,12670,0.75,13.55,13.57,-1.52,2
2435.97,1739.1,2.1,13.82,13.98,-1.42,0
2571.54,2603.51,-13.86,-0.47,13.87,3.11,4
2433.87,2105.75,-7.21,11.99,13.99,-2.11,0
2459.68,2087.4,-0.94,13.92,13.95,-1.64,3
2462.73,2047.41,-1.11,13.83,13.88,-1.65,3
2448.04,1961.15,-1.11,13.91,13.96,-1.65,0
2553.24,2112.74,-1.12,13.92,13.97,-1.65,4
2447.83,1889.56,1.01,13.88,13.92,-1.5,0
2441.23,1798.76,0.92,12.65,12.68,-1.5,0
0,0,0.98,13.43,13.46,-1.5,1
2437.97,1752.88,1.59,13.83,13.92,-1.46,0
2401.62,2140.04,-13.93,-0.47,13.93,3.11,3
2424.16,2115.43,-11.78,7.48,13.95,-2.58,0
2458.74,2101.32,-0.94,13.88,13.91,-1.64,3
1023,17134,-1.11,13.86,13.91,-1.65,2
2446.93,1975.02,-1.11,13.9,13.94,-1.65,0
2926.12,2288.64,-1.12,13.95,14,-1.65,4
2448.84,1903.45,1.01,13.92,13.96,-1.5,0
2442.15,1811.38,0.92,12.6,12.63,-1.5,0
0,0,0.96,13.19,13.23,-1.5,1
2438.96,1766.78,0.77,13.9,13.92,-1.52,0
1950,17070,-13.93,-0.47,13.94,3.11,2
2411.28,2120.52,-13.55,3.07,13.89,-2.92,0
2457.8,2115.19,-2.33,13.75,13.95,-1.74,3
1315,10210,-1.11,13.87,13.91,-1.65,2
2445.82,1988.9,-1.11,13.86,13.91,-1.65,0
0,0,-1.11,13.83,13.88,-1.65,1
2449.85,1917.35,1.01,13.83,13.87,-1.5,0
2443.07,1824.04,0.92,12.7,12.73,-1.5,0
0,0,0.95,13.11,13.14,-1.5,1
2439.91,1780.67,1.01,13.85,13.88,-1.5,0
0,0,-13.94,-0.47,13.95,3.11,1
2397.41,2120.57,-13.95,-0.47,13.96,3.11,0
2929.59,2542.88,-7.18,11.95,13.94,-2.11,4
2459.56,2089.1,-0.94,13.91,13.94,-1.64,3
2444.7,2002.79,-1.12,13.95,13.99,-1.65,0
2466.9,1995.42,-1.12,13.94,13.99,-1.65,3
2450.43,1931.26,-1.11,13.84,13.89,-1.65,0
2443.99,1836.67,0.92,12.58,12.62,-1.5,0
2462.6,1837.64,0.94,12.91,12.94,-1.5,3
2440.93,1794.58,1.01,13.89,13.92,-1.5,0
2312,12937,-13.88,-0.47,13.89,3.11,2
2383.49,2120.1,-13.93,-0.47,13.93,3.11,0
0,0,-12.09,6.85,13.89,-2.63,1
2458.65,2103,-0.77,13.89,13.91,-1.63,3
2443.59,2016.65,-1.11,13.84,13.89,-1.65,0
2894.78,2241.3,-1.12,13.95,13.99,-1.65,4
2449.32,1945.16,-1.12,13.94,13.98,-1.65,0
2444.91,1849.33,0.92,12.62,12.65,-1.5,0
0,0,0.94,12.88,12.91,-1.5,1
2441.94,1808.49,1.01,13.85,13.89,-1.5,0
2345.93,2138.15,-13.91,-0.47,13.92,3.11,3
2369.57,2119.63,-13.97,-0.47,13.98,3.11,0
